,Columns,restaurant_csvs_store_data,restaurant_csvs_payment_data,restaurant_csvs_order_line,restaurant_csvs_order_data,,,,,,,,,,,,,,,,,,,,,,,
,id_store,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,
,date_created,Y,Y,Y,,,,Columns to Join in,,,,,,,,,,,,,,,,,,,,
,dim_zipcode,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,dim_country,Y,,,,,,,restaurant_csvs_store_data,restaurant_csvs_payment_data,restaurant_csvs_order_line,restaurant_csvs_order_data,,,,,,,,,,,,,,,,
,dim_currency,Y,,,,,,restaurant_csvs_store_data,-,"(join with restaurant_cvs_order_data on id_order, then on id_store)","(join with restaurant_cvs_order_data on id_order, then on id_store)",id_store,,,,,,,,,,,,,,,,
,id_pay,,Y,,,,,restaurant_csvs_payment_data,"(join with restaurant_cvs_order_data on id_order, then on id_store)",-,id_order,id_order,,,,,,,,,,,,,,,,
,id_order,,Y,Y,Y,,,restaurant_csvs_order_line,"(join with restaurant_cvs_order_data on id_order, then on id_store)",,-,id_order,,,,,,,,,,,,,,,,
,dim_status,,Y,Y,Y,,,restaurant_csvs_order_data,id_store,id_order,id_order,-,,,,,,,,,,,,,,,,
,dim_type,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
,m_amount,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
,m_cashback,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
,m_credit,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
,id_order_line,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,date_opended,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,m_quantity,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,m_unit_price,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,m_unit_price_exc_vat,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,m_total_price_inc_vat,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,m_total_price_exc_vat,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,m_tax_percent,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,m_discount_amount,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,dim_category,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,dim_name,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,dim_feature_type,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,dim_unit_measure,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,dim_unit_measure_display,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,dim_category_translated,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,dim_name_translated,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,id_table,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
,id_waiter,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
,id_device,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
,date_opened,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
,date_closed,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
,dim_source,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
,m_nb_customer,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
,m_cached_payed,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
,m_cached_price,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
,Total columns,5,8,20,12,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurant_csvs_store_data,,,,,,,,,restaurant_csvs_payment_data,,,,,,,,,,,,,,,,,,,
,,,,,,,,,id_pay,id_order,dim_status,dim_type,m_amount,m_cashback,m_credit,date_created,,,,,,,,,,,,
,,,,,,,,,51132874,37856999,ACCEPTED,CB_Sans_Contact,16.1,0,0,2018-08-08 12:17:22 UTC,,,,,,,,,,,,
id_store,date_created,dim_zipcode,dim_country,dim_currency,,,,,29021533,20355020,ACCEPTED,CB_Sans_Contact,13.9,0,0,2018-01-31 12:49:26 UTC,,,,,,,,,,,,
360,2015-07-29 06:54:50 UTC,75001,FR,EUR,,,,,180172825,143751020,ACCEPTED,CB_SANS_CONTACT,25.3,0,0,2020-09-23 12:51:19 UTC,,,,,,,,,,,,
351,2015-07-25 11:51:52 UTC,75002,FR,EUR,,,,,114043888,88950069,ACCEPTED,AMERICAN_EXPRESS,75.6,0,0,2019-08-24 19:31:05 UTC,,,,,,,,,,,,
4803,2017-10-04 13:56:31 UTC,75002,FR,EUR,,,,,32433714,22894007,ACCEPTED,BANK_TRANSFER,66,0,0,2018-03-08 14:00:10 UTC,,,,,,,,,,,,
4364,2017-06-27 12:27:31 UTC,75003,FR,EUR,,,,,27991201,19553878,ACCEPTED,BANK_CHECK,44,0,0,2018-01-18 20:52:49 UTC,,,,,,,,,,,,
5281,2017-12-08 11:09:59 UTC,75004,FR,EUR,,,,,,,,,,,,,,,,,,,,,,,,
7872,2018-09-25 16:04:17 UTC,75005,FR,EUR,,,,,,,,,,,,,,,,,,,,,,,,
8291,2018-11-12 08:28:37 UTC,75008,FR,EUR,,,,,,,,,,,,,,,,,,,,,,,,
7304,2018-07-08 15:21:37 UTC,75008,FR,EUR,,,,,,,,,,,,,,,,,,,,,,,,
6827,2018-05-11 10:08:10 UTC,75009,FR,EUR,,,,,,,,,,,,,,,,,,,,,,,,
5498,2017-12-29 16:14:24 UTC,75009,FR,EUR,,,,,restaurant_csvs_order_line,,,,,,,,,,,,,,,,,,,
2035,2016-05-17 08:53:49 UTC,75010,FR,EUR,,,,,id_order_line,id_order,date_opended,date_created,m_quantity,m_unit_price,m_unit_price_exc_vat,m_total_price_inc_vat,m_total_price_exc_vat,m_tax_percent,m_discount_amount,dim_type,dim_category,dim_name,dim_status,dim_feature_type,dim_unit_measure,dim_unit_measure_display,dim_category_translated,dim_name_translated
4151,2017-05-15 17:28:52 UTC,75012,FR,EUR,,,,,36303668,7901432,2017-04-29 20:38:13 UTC,2017-04-29 20:38:13 UTC,1,0,0,0,0,0.2,0,OPTION,Martini 15 cl,Gin,WAITING,,,,Martini 15 cl,Gin
6830,2018-05-11 11:03:01 UTC,75013,FR,EUR,,,,,160656467,35669117,2018-07-18 12:55:12 UTC,2018-07-18 13:09:03 UTC,1,0,0,0,0,0.1,0,PRODUCT,WRAP DE SARRASIN,NYC,WAITING,,,,BUCKWHEAT WRAP,NYC
730,2015-11-09 15:35:23 UTC,75013,FR,EUR,,,,,127895661,27274572,2018-04-27 10:44:45 UTC,2018-04-27 10:49:04 UTC,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
1513,2016-03-15 17:34:25 UTC,75015,FR,EUR,,,,,124934060,26512568,2018-04-19 10:35:06 UTC,2018-04-19 10:35:20 UTC,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
6008,2018-02-19 11:58:54 UTC,75016,FR,EUR,,,,,83606925,16715607,2017-11-24 12:35:38 UTC,2017-11-24 12:36:19 UTC,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
5860,2018-01-29 08:52:26 UTC,75018,FR,EUR,,,,,95576855,19444662,2018-01-17 11:34:34 UTC,2018-01-17 11:34:43 UTC,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
5617,2018-01-09 16:01:41 UTC,75018,FR,EUR,,,,,122765839,25968886,2018-04-13 12:19:31 UTC,2018-04-13 12:21:41 UTC,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
7786,2018-09-15 12:46:15 UTC,75019,FR,EUR,,,,,125356289,26620740,2018-04-20 10:32:37 UTC,2018-04-20 10:32:45 UTC,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
4196,2017-05-19 15:44:32 UTC,75019,FR,EUR,,,,,101489716,20819250,2018-02-07 11:33:17 UTC,2018-02-07 11:38:27 UTC,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
5210,2017-11-29 17:31:49 UTC,75020,FR,EUR,,,,,84390706,16892571,2017-11-28 11:56:39 UTC,2017-11-28 11:56:45 UTC,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
,,,,,,,,,106488507,21984050,2018-02-23 12:23:44 UTC,2018-02-23 12:25:02 UTC,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,,,,BREIZH&#39;N&#39;ROLL,NYC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,restaurant_csvs_order_data,,,,,,,,,,,,,,,,,,,
,,,,,,,,,id_order,id_store,id_table,id_waiter,id_device,date_opened,date_closed,dim_status,dim_source,m_nb_customer,m_cached_payed,m_cached_price,,,,,,,,
,,,,,,,,,112572333,7786,,24920,14854,2020-01-12 16:03:02 UTC,2020-01-12 16:03:13 UTC,CLOSED,tiller-order,1,11.9,11.9,,,,,,,,
,,,,,,,,,112912195,6830,133612,12894,13026,2020-01-14 22:06:18 UTC,2020-01-14 22:08:10 UTC,CLOSED,Tiller iPAD,4,61.1,61.1,,,,,,,,
,,,,,,,,,113129706,8291,,16823,15760,2020-01-16 11:11:02 UTC,2020-01-16 11:11:30 UTC,CLOSED,tiller-order,1,11.7,11.7,,,,,,,,
,,,,,,,,,79969209,351,19300,461,128,2019-06-29 17:03:54 UTC,2019-06-29 18:22:21 UTC,CLOSED,Tiller iPAD,4,128,128,,,,,,,,
,,,,,,,,,49208645,6008,,10990,11065,2018-11-16 16:43:54 UTC,2018-11-16 16:56:15 UTC,CLOSED,Tiller iPAD,1,9.9,9.9,,,,,,,,
,,,,,,,,,50451573,6008,,10990,11065,2018-11-27 18:57:58 UTC,2018-11-27 18:58:59 UTC,CLOSED,Tiller iPAD,1,25,25,,,,,,,,
,,,,,,,,,50451883,730,8292,1095,754,2018-11-27 19:01:28 UTC,2018-11-27 19:06:29 UTC,CLOSED,Tiller iPAD,1,28.8,28.8,,,,,,,,
,,,,,,,,,50454421,351,19304,461,128,2018-11-27 19:17:04 UTC,2018-11-27 21:18:41 UTC,CLOSED,Tiller iPAD,2,55,55,,,,,,,,
,,,,,,,,,1904545,2035,,2753,716,2016-07-07 17:28:36 UTC,2016-07-07 18:05:32 UTC,CLOSED,,0,27,27,,,,,,,,
,,,,,,,,,19691004,2035,30578,2752,5949,2018-01-20 18:23:38 UTC,2018-01-20 19:08:46 UTC,CLOSED,Tiller iPAD,2,47.85,47.85,,,,,,,,
,,,,,,,,,19702583,1513,15668,2464,424,2018-01-20 19:21:43 UTC,2018-01-20 21:13:48 UTC,CLOSED,Tiller iPAD,2,49.8,49.8,,,,,,,,
,,,,,,,,,21385338,2035,19448,2753,5949,2018-02-15 11:53:42 UTC,2018-02-15 12:45:43 UTC,CLOSED,Tiller iPAD,5,111.1,111.1,,,,,,,,
,,,,,,,,,95904308,6827,,14302,13022,2019-10-03 11:17:30 UTC,2019-10-03 11:20:04 UTC,CLOSED,Tiller iPAD,1,54,54,,,,,,,,
,,,,,,,,,65244054,8291,,16823,15747,2019-03-26 12:45:35 UTC,2019-03-26 12:45:39 UTC,CLOSED,Tiller iPAD,1,9.9,9.9,,,,,,,,
,,,,,,,,,133548128,6830,133611,25560,,2020-07-18 18:35:54 UTC,2020-07-18 18:37:49 UTC,CLOSED,tiller-order,3,60.6,60.6,,,,,,,,